Name,Num of words
CAB DRIVER,2
WELLES,5
WELLES,8
WELLES,5
CAB DRIVER,2
WELLES,1
CAB DRIVER,6
CAB DRIVER,6
CAB DRIVER,3
WELLES,6
WELLES,6
CAB DRIVER,6
OLDER WOMAN,2
AMY,2
WELLES,8
AMY,5
AMY,2
WELLES,4
AMY,5
WELLES,6
WELLES,5
WELLES,6
WELLES,7
WELLES,7
AMY,4
WELLES,5
AMY,4
WELLES,6
WELLES,5
WELLES,5
WELLES,5
WELLES,8
WELLES,3
AMY,4
WELLES,6
WELLES,7
WELLES,3
AMY,6
AMY,4
WELLES,4
AMY,3
WELLES,3
WELLES,5
WELLES,6
WELLES,6
WELLES,5
WELLES,5
WELLES,7
WELLES,5
WELLES,5
POLITICIAN,5
WELLES,5
POLITICIAN,7
POLITICIAN,7
WELLES,7
WELLES,5
POLITICIAN,5
WELLES,6
WELLES,4
AMY,7
AMY,4
WELLES,5
AMY,7
AMY,4
WELLES,6
WELLES,4
WELLES,5
AMY,7
AMY,2
WELLES,7
WELLES,1
WELLES,4
WELLES,5
WELLES,6
WELLES,4
WELLES,5
WELLES,4
MRS CHRISTIAN,5
WELLES,4
MRS CHRISTIAN,6
MRS CHRISTIAN,2
MRS CHRISTIAN,6
MRS CHRISTIAN,2
WELLES,3
MRS CHRISTIAN,4
MRS CHRISTIAN,6
MRS CHRISTIAN,6
LONGDALE,8
LONGDALE,8
LONGDALE,5
WELLES,2
LONGDALE,6
LONGDALE,7
LONGDALE,7
LONGDALE,6
LONGDALE,4
WELLES,3
LONGDALE,5
WELLES,2
LONGDALE,4
LONGDALE,5
LONGDALE,5
LONGDALE,7
LONGDALE,6
LONGDALE,8
LONGDALE,4
MRS CHRISTIAN,6
MRS CHRISTIAN,7
MRS CHRISTIAN,4
MRS CHRISTIAN,4
MRS CHRISTIAN,6
WELLES,2
WELLES,2
MRS CHRISTIAN,3
MRS CHRISTIAN,3
MRS CHRISTIAN,7
MRS CHRISTIAN,5
MRS CHRISTIAN,5
MRS CHRISTIAN,8
MRS CHRISTIAN,2
WELLES,5
WELLES,5
MRS CHRISTIAN,5
MRS CHRISTIAN,5
MRS CHRISTIAN,3
MRS CHRISTIAN,7
MRS CHRISTIAN,5
WELLES,2
MRS CHRISTIAN,6
MRS CHRISTIAN,6
MRS CHRISTIAN,2
WELLES,7
MRS CHRISTIAN,3
MRS CHRISTIAN,6
MRS CHRISTIAN,2
WELLES,1
MRS CHRISTIAN,6
MRS CHRISTIAN,2
MRS CHRISTIAN,8
MRS CHRISTIAN,6
MRS CHRISTIAN,5
MRS CHRISTIAN,1
WELLES,2
MRS CHRISTIAN,5
MRS CHRISTIAN,8
MRS CHRISTIAN,6
MRS CHRISTIAN,7
MRS CHRISTIAN,8
MRS CHRISTIAN,8
MRS CHRISTIAN,7
WELLES,9
WELLES,6
WELLES,5
MRS CHRISTIAN,2
MRS CHRISTIAN,8
MRS CHRISTIAN,6
MRS CHRISTIAN,8
MRS CHRISTIAN,6
MRS CHRISTIAN,6
WELLES,7
WELLES,5
MRS CHRISTIAN,7
MRS CHRISTIAN,5
MRS CHRISTIAN,6
MRS CHRISTIAN,6
MRS CHRISTIAN,4
MRS CHRISTIAN,4
WELLES,8
WELLES,1
MRS CHRISTIAN,5
MRS CHRISTIAN,7
MRS CHRISTIAN,1
WELLES,4
MRS CHRISTIAN,8
MRS CHRISTIAN,6
MRS CHRISTIAN,8
MRS CHRISTIAN,6
MRS CHRISTIAN,6
MRS CHRISTIAN,7
MRS CHRISTIAN,6
MRS CHRISTIAN,7
MRS CHRISTIAN,6
MRS CHRISTIAN,6
MRS CHRISTIAN,4
WELLES,5
WELLES,4
WELLES,6
WELLES,6
WELLES,6
WELLES,7
WELLES,5
WELLES,5
WELLES,5
WELLES,5
WELLES,5
WELLES,7
WELLES,7
WELLES,5
WELLES,4
MRS CHRISTIAN,1
WELLES,8
WELLES,6
WELLES,5
MRS CHRISTIAN,6
WELLES,4
WELLES,5
WELLES,8
WELLES,6
MRS CHRISTIAN,7
MRS CHRISTIAN,1
WELLES,6
WELLES,4
WELLES,8
MRS CHRISTIAN,7
WELLES,6
MRS CHRISTIAN,9
MRS CHRISTIAN,7
MRS CHRISTIAN,6
MRS CHRISTIAN,8
MRS CHRISTIAN,7
MRS CHRISTIAN,6
MRS CHRISTIAN,7
MRS CHRISTIAN,5
WELLES,5
MRS CHRISTIAN,6
MRS CHRISTIAN,5
MRS CHRISTIAN,5
MRS CHRISTIAN,7
MRS CHRISTIAN,7
MRS CHRISTIAN,7
MRS CHRISTIAN,7
MRS CHRISTIAN,6
MRS CHRISTIAN,6
MRS CHRISTIAN,6
MRS CHRISTIAN,6
MRS CHRISTIAN,8
MRS CHRISTIAN,5
WELLES,6
WELLES,1
MRS CHRISTIAN,5
WELLES,4
MRS CHRISTIAN,6
MRS CHRISTIAN,5
MRS CHRISTIAN,7
MRS CHRISTIAN,5
MRS CHRISTIAN,5
MRS CHRISTIAN,7
WELLES,6
WELLES,3
AMY,2
WELLES,6
WELLES,5
AMY,2
WELLES,6
WELLES,7
WELLES,7
WELLES,5
AMY,3
WELLES,8
WELLES,5
WELLES,4
WELLES,4
WELLES,5
DIRECTOR,8
WELLES,3
DIRECTOR,2
WELLES,6
WELLES,7
WELLES,5
WELLES,5
DIRECTOR,8
DIRECTOR,2
WELLES,6
WELLES,6
WELLES,6
WELLES,8
WELLES,5
WELLES,6
WELLES,7
WELLES,6
WELLES,4
WELLES,5
WELLES,4
WELLES,5
WELLES,9
WELLES,6
WELLES,8
WELLES,6
WELLES,6
WELLES,7
WELLES,7
WELLES,4
WELLES,5
WELLES,7
WELLES,8
WELLES,8
WELLES,7
WELLES,4
WELLES,9
WELLES,6
WELLES,7
WELLES,3
DIRECTOR,7
DIRECTOR,1
WELLES,5
DIRECTOR,2
WELLES,6
WELLES,4
DIRECTOR,6
WELLES,6
WELLES,7
WELLES,6
WELLES,6
WELLES,3
WELLES,7
WELLES,5
WELLES,5
WELLES,3
WELLES,5
WELLES,3
DIRECTOR,6
WELLES,5
WELLES,6
WELLES,6
WELLES,7
DIRECTOR,8
DIRECTOR,5
WELLES,6
WELLES,6
DIRECTOR,7
WELLES,5
WELLES,6
WELLES,1
DIRECTOR,5
DIRECTOR,7
DIRECTOR,7
DIRECTOR,6
