Name,Num of words
EMPLOYEE,6
EMPLOYEE,6
EMPLOYEE,7
EMPLOYEE,5
EMPLOYEE,5
NURSE,2
NURSE,6
NURSE,7
NURSE,7
NOMAK,6
NURSE,8
NOMAK,2
NOMAK,8
NURSE,7
NURSE,6
NOMAK,2
NURSE,7
NURSE,7
NURSE,1
NOMAK,6
DOCTOR,6
DOCTOR,8
NOMAK,2
NOMAK,4
BLADE,8
BLADE,5
VAMPIRE,2
BLADE,8
BLADE,2
WHISTLER,8
WHISTLER,2
WHISTLER,10
BLADE,3
BLADE,3
BLADE,1
SCUD,6
SCUD,4
SCUD,6
BLADE,8
SCUD,2
BLADE,7
BLADE,8
SCUD,6
BLADE,6
BLADE,6
BLADE,3
BLADE,7
BLADE,2
SCUD,7
BLADE,2
BLADE,7
BLADE,6
BLADE,6
BLADE,7
BLADE,7
WHISTLER,5
BLADE,4
WHISTLER,9
WHISTLER,1
WHISTLER,5
BLADE,5
WHISTLER,4
BLADE,7
BLADE,7
BLADE,5
WHISTLER,8
WHISTLER,3
WHISTLER,9
WHISTLER,6
WHISTLER,6
WHISTLER,5
TV,7
TV,8
TV,8
TV,7
SCUD,6
SCUD,7
SCUD,6
SCUD,6
WHISTLER,5
SCUD,1
WHISTLER,2
WHISTLER,6
SCUD,7
SCUD,3
SCUD,4
SCUD,5
SCUD,2
WHISTLER,6
WHISTLER,2
SCUD,6
SCUD,4
SCUD,1
WHISTLER,7
WHISTLER,6
WHISTLER,6
WHISTLER,1
SCUD,4
WHISTLER,8
WHISTLER,8
WHISTLER,7
WHISTLER,7
WHISTLER,6
WHISTLER,5
WHISTLER,2
SCUD,8
SCUD,5
SCUD,6
SCUD,6
WHISTLER,5
WHISTLER,6
WHISTLER,1
SCUD,6
BLADE,1
SCUD,7
SCUD,1
SCUD,6
SCUD,5
WHISTLER,6
WHISTLER,5
WHISTLER,6
WHISTLER,3
SCUD,7
SCUD,7
BLADE,3
SECOND INTRUDER,1
SECOND INTRUDER,8
SECOND INTRUDER,4
BLADE,4
ASAD,8
ASAD,5
ASAD,6
ASAD,8
ASAD,2
SCUD,1
NYSSA,7
NYSSA,6
NYSSA,7
NYSSA,4
SCUD,7
SCUD,4
WHISTLER,6
WHISTLER,8
WHISTLER,6
WHISTLER,1
BLADE,8
BLADE,6
BLADE,4
WHISTLER,6
ASAD,6
BLADE,1
NYSSA,6
NYSSA,6
NYSSA,2
NYSSA,8
NYSSA,6
BLADE,6
