Clock 1,Clock 2
0,90
1,106
2,112
3,118
4,119
5,144
6,161
7,200
8,222
9,226
10,247
11,302
12,310
13,313
14,362
15,379
16,409
17,415
18,431
19,434
20,458
21,463
22,530
23,536
24,544
25,548
26,549
27,555
28,582
29,586
30,590
31,595
32,600
33,604
34,617
35,623
36,645
37,657
38,671
39,676
40,680
41,691
42,698
43,715
44,719
45,727
46,730
47,744
48,769
49,772
50,776
51,780
52,783
53,793
54,797
55,832
56,835
57,840
58,844
59,867
60,1110
61,1187
62,1241
63,1244
64,1257
65,1261
66,1275
67,1318
68,1452
69,1457
70,1468
71,1483
72,1525
73,1530
74,1540
75,1561
76,1608
77,1614
78,1622
79,1627
80,1659
81,1675
82,1800
83,1807
84,1808
85,1836
86,1841
87,1850
88,1854
89,1856
90,1864
91,1868
92,1874
93,1879
94,1885
95,1913
96,1918
97,1923
98,1969
99,1977
100,2015
101,2022
102,2027
103,2040
104,2043
105,2044
106,2074
107,2082
108,2088
109,2120
110,2125
111,2197
112,2215
113,2228
114,2229
115,2246
116,2253
117,2279
118,2288
119,2389
120,2412
121,2443
122,2456
123,2499
124,2528
125,2531
126,2533
127,2536
128,2547
129,2550
130,2569
131,2587
132,2599
133,2603
134,2608
135,2679
136,2690
137,2723
138,2738
139,2739
140,2757
141,2760
142,2773
143,2776
144,2781
145,2784
146,2788
147,2806
148,2830
149,2834
150,2844
151,2847
152,2932
153,2951
154,2963
155,2964
156,3054
157,3074
158,3078
159,3081
160,3093
161,3099
162,3110
163,3114
164,3132
165,3137
166,3163
167,3169
168,3206
169,3229
170,3242
171,3248
172,3256
173,3286
174,3298
175,3326
176,3333
177,3397
178,3409
179,3413
180,3478
181,3488
182,3493
183,3506
184,3530
185,3534
186,3550
187,3562
188,3588
189,3603
190,3621
191,3625
192,3639
193,3643
194,3647
195,3657
196,3660
197,3668
198,3713
199,3766
200,3771
201,3776
202,3785
203,3899
204,3914
205,3928
206,3936
207,3970
208,3977
209,3996
210,4002
211,4043
212,4151
213,4189
214,4197
215,4268
216,4279
217,4291
218,4297
219,4303
220,4308
221,4313
222,4319
223,4320
224,4354
225,4359
226,4364
227,4380
228,4384
229,4431
230,4442
231,4501
232,4506
233,4510
234,4518
235,4520
236,4528
237,4547
238,4571
239,4576
240,4588
241,4597
242,4613
243,4626
244,4639
245,4643
246,4680
247,4714
248,4716
249,4720
250,4723
251,4728
252,4733
253,4747
254,4755
255,4760
256,4782
257,4786
258,4798
259,4801
260,4808
261,4821
262,4842
263,4857
264,4859
265,4871
266,4890
267,4913
268,4956
269,4957
270,5086
271,5123
272,5127
273,5140
274,5144
275,5157
276,5163
277,5170
278,5180
279,5210
280,5221
281,5229
282,5236
283,5253
284,5259
285,5271
286,5283
287,5326
288,5339
289,5352
290,5378
291,5381
292,5417
293,5503
294,5516
295,5530
296,5563
297,5835
298,5864
299,6026
300,6034
301,6039
302,6045
303,6050
304,6059
305,6071
306,6075
307,6082
308,6088
309,6092
310,6129
311,6207
312,6217
313,6258
314,6259
315,6264
316,6287
317,6291
318,6298
319,6305
320,6312
321,6315
322,6337
323,6341
324,6379
325,6384
326,6387
327,6390
328,6395
329,6405
330,6566
331,6571
332,6592
333,6595
334,6613
335,6622
336,6631
337,6632
338,6636
339,6644
340,6660
341,6667
342,6695
343,6699
344,6712
345,6723
346,6727
347,6740
348,6761
349,6788
350,6820
351,6831
352,6837
353,6840
354,6864
355,6911
356,6924
357,6937
358,6944
359,6955
360,6962
361,6966
362,6985
363,6988
364,6997
365,7000
366,7003
367,7005
368,7006
369,7009
370,7026
371,7039
372,7056
373,7071
374,7081
375,7085
376,7104
377,7120
378,7128
379,7167
380,7191
381,7193
382,7196
383,7201
384,7247
385,7257
386,7303
387,7307
388,7310
389,7323
390,7329
391,7344
392,7351
393,7363
394,7414
395,7417
396,7427
397,7430
398,7441
399,7447
400,7454
401,7462
402,7465
403,7469
404,7471
405,7477
406,7480
407,7500
408,7504
409,7509
410,7529
411,7536
412,7564
413,7569
414,7574
415,7579
416,7588
417,7646
418,7652
419,7656
420,7661
421,7663
422,7676
423,7680
424,7684
425,7687
426,7691
427,7693
428,7700
429,7703
430,7709
431,7726
432,7746
433,7749
434,7777
435,7801
436,7803
437,7819
438,7831
439,7834
440,7841
441,7842
442,7855
443,7862
444,7880
445,7890
446,7901
447,7904
448,7909
449,7916
450,7919
451,7946
452,7955
453,7961
454,7982
455,7990
456,7995
457,8008
458,8015
459,8021
460,8031
461,8037
462,8039
463,8049
464,8053
465,8067
466,8069
467,8078
468,8080
469,8101
470,8107
471,8115
472,8123
473,8126
474,8128
475,8156
476,8180
477,8182
478,8193
479,8196
480,8207
481,8214
482,8227
483,8236
484,8302
485,8376
486,8451
487,8458
488,8467
489,8477
490,8483
491,8488
492,8504
493,8512
494,8525
495,8530
496,8534
497,8537
498,8542
499,8620
500,8622
501,8636
502,8647
503,8685
504,8689
505,8697
506,8732
507,8742
508,8780
509,8798
510,8806
511,8811
