Name,Num of words
ELI,6
ELI,5
ELI,4
ELI,7
ELI,7
ELI,5
ELI,7
ELI,7
ELI,7
ELI,5
ELI,7
ELI,6
ELI,8
ELI,3
ELI,3
ELI,3
YOUNG WOMAN,6
YOUNG WOMAN,6
YOUNG WOMAN,4
ELI,6
YOUNG WOMAN,6
ELI,1
YOUNG WOMAN,7
YOUNG WOMAN,8
YOUNG WOMAN,8
YOUNG WOMAN,2
ELI,7
ELI,7
ELI,3
BANDIT LEADER,7
BANDIT LEADER,7
BANDIT LEADER,1
BANDIT LEADER,7
BANDIT LEADER,8
BANDIT LEADER,9
BANDIT #2,4
BANDIT #2,6
BANDIT #2,6
BANDIT #2,6
ELI,4
BANDIT LEADER,9
BANDIT LEADER,7
BANDIT LEADER,5
ELI,6
ELI,7
ELI,8
ELI,6
ELI,8
ELI,8
ELI,7
ELI,5
BANDIT LEADER,7
BANDIT LEADER,1
ELI,3
BANDIT LEADER,7
BANDIT LEADER,6
BANDIT LEADER,7
BANDIT LEADER,7
BANDIT LEADER,7
BANDIT LEADER,9
BANDIT LEADER,1
BANDIT LEADER,5
ELI,9
ELI,8
BANDIT LEADER,7
BANDIT LEADER,3
BANDIT LEADER,7
BANDIT LEADER,6
BANDIT LEADER,6
BANDIT LEADER,1
BANDIT #3,6
ELI,7
ELI,7
ELI,2
BANDIT LEADER,3
ELI,4
ELI,8
ELI,7
ELI,5
YOUNG WOMAN,5
ELI,6
ELI,6
ELI,6
ELI,6
ELI,6
ELI,1
ELI,6
ELI,7
ELI,8
ELI,8
ELI,7
YOUNG WOMAN,6
ELI,8
YOUNG WOMAN,4
ELI,1
YOUNG WOMAN,6
ELI,1
ELI,7
ELI,6
ELI,3
ELI,7
ELI,2
ELI,1
CHAIN GANG BOSS,4
ENGINEER,4
ELI,5
ENGINEER,5
ELI,4
ENGINEER,5
ENGINEER,8
ELI,6
ENGINEER,1
ENGINEER,8
ENGINEER,7
ENGINEER,6
ELI,7
ELI,5
ENGINEER,4
ENGINEER,3
ENGINEER,7
ELI,5
ENGINEER,4
ELI,6
ELI,5
ENGINEER,6
ENGINEER,1
ELI,7
ELI,3
ELI,5
ELI,2
ENGINEER,4
ELI,7
ELI,1
ENGINEER,3
ELI,7
