Clock 1,Clock 2
0,6
1,10
2,12
3,25
4,27
5,28
6,40
7,48
8,63
9,79
10,96
11,174
12,187
13,188
14,201
15,211
16,229
17,243
18,254
19,256
20,257
21,259
22,269
23,272
24,274
25,280
26,285
27,294
28,301
29,308
30,317
31,330
32,348
33,389
34,398
35,407
36,417
37,428
38,463
39,468
40,474
41,475
42,479
43,480
44,484
45,531
46,543
47,562
48,566
49,572
50,576
51,587
52,598
53,607
54,615
55,620
56,639
57,647
58,658
59,661
60,680
61,696
62,707
63,709
64,719
65,734
66,745
67,749
68,760
69,766
70,778
71,782
72,789
73,790
74,795
75,805
76,810
77,825
78,828
79,840
80,855
81,861
82,864
83,867
84,878
85,886
86,896
87,907
88,919
89,922
90,923
91,928
92,932
93,937
94,938
95,948
96,953
97,975
98,982
99,989
100,999
101,1007
102,1018
103,1024
104,1037
105,1052
106,1057
107,1061
108,1064
109,1071
110,1076
111,1080
112,1087
113,1089
114,1102
115,1106
116,1132
117,1138
118,1144
119,1158
120,1166
121,1167
122,1169
123,1170
124,1174
125,1180
126,1184
127,1189
128,1194
129,1202
130,1207
131,1212
132,1221
133,1227
134,1230
135,1294
136,1297
137,1338
138,1344
139,1389
140,1395
141,1399
142,1410
143,1445
144,1452
145,1469
146,1473
147,1485
148,1493
149,1542
150,1544
151,1551
152,1552
153,1553
154,1595
155,1596
156,1601
157,1606
158,1644
159,1648
160,1670
161,1678
162,1700
163,1711
164,1744
165,1759
166,1763
167,1768
168,1776
169,1790
170,1800
171,1807
172,1811
173,1817
174,1821
175,1831
176,1846
177,1856
178,1866
179,1870
180,1878
181,1881
182,1891
183,1893
184,1894
185,1899
186,1900
187,1928
188,1942
189,1951
190,1963
191,1979
192,1981
193,1987
194,1991
195,2003
196,2018
197,2023
198,2026
199,2037
200,2039
201,2068
202,2071
203,2080
204,2088
205,2090
206,2093
207,2138
208,2143
209,2174
210,2175
211,2187
212,2222
213,2224
214,2236
215,2240
216,2252
217,2256
218,2276
219,2285
220,2292
221,2298
222,2302
223,2304
224,2305
225,2314
226,2328
227,2344
228,2353
229,2364
230,2365
231,2385
232,2387
233,2390
234,2395
235,2406
236,2412
237,2417
238,2428
239,2431
240,2437
241,2441
242,2443
243,2449
244,2456
245,2466
246,2474
247,2484
248,2494
249,2501
250,2505
251,2506
252,2508
253,2511
254,2514
255,2532
256,2567
257,2574
258,2576
259,2580
260,2615
261,2626
262,2653
263,2660
264,2687
265,2692
266,2700
267,2720
268,2768
269,2774
270,2786
271,2799
272,2828
273,2831
274,2858
275,2860
276,2875
277,2879
278,2903
279,2913
280,2920
281,2953
282,2960
283,2979
284,2987
285,2999
286,3004
287,3008
288,3023
289,3036
290,3042
291,3046
292,3053
293,3056
294,3061
295,3074
296,3076
297,3106
298,3112
299,3135
300,3165
301,3172
302,3181
303,3193
304,3198
305,3210
306,3218
307,3230
308,3233
309,3237
310,3247
311,3254
312,3257
313,3272
314,3276
315,3279
316,3290
317,3297
318,3315
319,3325
320,3329
321,3330
322,3334
323,3335
324,3351
325,3354
326,3358
327,3366
328,3369
329,3389
330,3390
331,3413
332,3421
333,3427
334,3442
335,3444
336,3452
337,3457
338,3461
339,3471
340,3485
341,3488
342,3496
343,3519
344,3536
345,3544
346,3545
347,3548
348,3553
349,3604
350,3621
351,3633
352,3663
353,3669
354,3681
355,3686
356,3706
357,3718
358,3783
359,3787
360,3788
361,3792
362,3798
363,3811
364,3822
365,3830
366,3839
367,3846
368,3850
369,3853
370,3873
371,3882
372,3884
373,3892
374,3895
375,3898
376,3904
377,3907
378,3924
379,3931
380,3950
381,3964
382,3967
383,3998
384,4012
385,4013
386,4014
387,4017
388,4028
389,4029
390,4035
391,4062
392,4068
393,4075
394,4082
395,4091
396,4111
397,4112
398,4129
399,4141
400,4188
401,4195
402,4204
403,4221
404,4250
405,4262
406,4267
407,4294
408,4308
409,4311
410,4345
411,4350
412,4365
413,4373
414,4404
415,4418
416,4445
417,4480
418,4486
419,4491
420,4493
421,4509
422,4535
423,4567
424,4570
425,4589
426,4590
427,4593
428,4598
429,4604
430,4609
431,4613
432,4615
433,4626
434,4635
435,4644
436,4664
437,4674
438,4681
439,4712
440,4724
441,4736
442,4745
443,4751
444,4757
445,4789
446,4791
447,4796
448,4799
449,4809
450,4813
451,4818
452,4826
453,4840
454,4870
455,4873
456,4879
457,4883
458,4912
459,4998
460,5004
461,5028
462,5063
463,5067
464,5126
465,5131
466,5148
467,5156
468,5157
469,5173
470,5176
471,5180
472,5183
473,5184
474,5195
475,5203
476,5205
477,5206
478,5217
479,5219
480,5244
481,5249
482,5251
483,5259
484,5261
485,5278
486,5281
487,5291
488,5304
489,5308
490,5325
491,5329
492,5333
493,5351
494,5360
495,5373
496,5379
497,5389
498,5396
499,5400
500,5416
501,5428
502,5434
503,5473
504,5475
505,5480
506,5586
507,5590
508,5594
509,5598
510,5603
511,5605
512,5611
513,5644
514,5647
515,5662
516,5665
517,5737
518,5744
519,5749
520,5771
521,5775
522,5800
523,5847
524,5897
525,5928
526,5931
527,5934
528,5936
529,5949
530,5954
531,5975
532,5987
533,5991
534,6020
535,6024
536,6036
537,6060
538,6073
539,6075
540,6090
541,6092
542,6136
543,6142
544,6160
545,6161
546,6167
547,6178
548,6189
549,6191
550,6216
551,6217
552,6218
553,6242
554,6280
555,6300
556,6332
557,6334
558,6339
559,6340
560,6342
561,6376
562,6383
563,6386
564,6397
565,6401
566,6416
567,6430
568,6448
569,6451
570,6452
571,6457
572,6460
573,6468
574,6469
575,6474
576,6479
577,6490
578,6497
579,6505
580,6509
581,6554
582,6573
583,6600
584,6602
585,6621
586,6624
587,6667
588,6670
589,6706
590,6707
591,6788
592,6791
593,6839
594,6842
595,6863
596,6868
597,6905
598,6908
599,6974
600,6976
601,6981
602,6990
603,6993
604,7006
605,7017
606,7018
607,7034
608,7049
609,7076
610,7077
611,7081
612,7088
613,7091
614,7096
615,7117
616,7121
617,7125
618,7128
619,7143
620,7146
621,7178
622,7181
623,7185
624,7186
625,7196
