Name,Num of words
JOSHUA,6
RICHARD,4
NANCY,2
JOSHUA,6
JOSHUA,5
JOSHUA,2
RICHARD,2
ANDRE,1
JOSHUA,7
JOSHUA,5
NANCY,6
NANCY,2
TUTORIAL,6
TUTORIAL,4
TUTORIAL,5
ANDRE,4
ANDRE,8
ANDRE,4
TUTORIAL,6
TUTORIAL,4
TUTORIAL,7
ANDRE,6
ANDRE,7
ANDRE,5
ANDRE,6
ANDRE,4
ANDRE,6
ANDRE,5
ANDRE,2
ANDRE,4
ANDRE,6
ANDRE,6
ANDRE,1
ANDRE,6
ANDRE,6
ANDRE,5
ANDRE,3
TUTORIAL,7
TUTORIAL,5
TUTORIAL,1
ANDRE,1
TUTORIAL,6
TUTORIAL,4
TUTORIAL,3
ROSE,3
ROSE,7
CHRIS,6
CHRIS,7
CHRIS,5
ROSE,7
ROSE,6
ROSE,1
CHRIS,6
CHRIS,5
ROSE,2
CHRIS,1
ROSE,2
CHRIS,2
CHRIS,7
CHRIS,1
ROSE,3
CHRIS,2
ROSE,6
CHRIS,5
ROSE,5
ROSE,4
CHRIS,2
CHRIS,5
ROSE,6
ROSE,1
CHRIS,7
CHRIS,2
ROSE,6
ROSE,6
ROSE,1
CHRIS,7
CHRIS,3
CHRIS,1
CHRIS,6
CHRIS,1
ROSE,6
ROSE,7
ROSE,7
ROSE,7
ROSE,5
ROSE,5
ROSE,1
ROSE,3
CHRIS,8
CHRIS,1
ROSE,6
ROSE,1
ROSE,2
CHRIS,2
CHRIS,2
CHRIS,1
CHRIS,5
ROSE,6
ROSE,5
CHRIS,6
CHRIS,8
CHRIS,7
CHRIS,7
CHRIS,4
CHRIS,3
ROSE,5
CHRIS,6
ROSE,1
CHRIS,4
ROD,1
CHRIS,4
ROD,7
ROD,4
ROD,5
ROD,6
ROD,4
ROD,8
ROD,5
ROD,7
ROD,1
CHRIS,7
CHRIS,5
ROD,6
ROD,6
ROD,6
ROD,1
CHRIS,4
ROD,5
ROD,1
CHRIS,2
CHRIS,2
ROD,5
ROD,6
ROSE,7
ROSE,4
ROD,7
ROD,2
ROSE,8
CHRIS,5
ROD,7
ROD,5
ROD,7
CHRIS,7
CHRIS,1
ROD,6
ROD,5
CHRIS,3
ROD,8
ROD,7
ROD,4
CHRIS,8
CHRIS,6
CHRIS,2
ROD,7
ROD,4
CHRIS,2
ROD,6
ROD,4
ROSE,6
ROSE,1
ROSE,1
ROSE,2
ROSE,1
ROSE,2
ROSE,2
CHRIS,7
CHRIS,1
CHRIS,1
CHRIS,2
ROSE,4
CHRIS,7
CHRIS,3
CHRIS,1
ROSE,2
ROSE,4
OFFICER CROWE,7
OFFICER CROWE,5
CHRIS,4
OFFICER CROWE,7
CHRIS,1
OFFICER CROWE,5
ROSE,6
ROSE,4
OFFICER CROWE,5
CHRIS,2
CHRIS,7
CHRIS,6
ROSE,3
OFFICER CROWE,7
OFFICER CROWE,5
ROSE,5
ROSE,6
ROSE,4
OFFICER CROWE,6
ROSE,3
CHRIS,3
ROSE,6
ROSE,4
ROSE,1
