Clock 1,Clock 2
0,90
1,94
2,99
3,112
4,120
5,143
6,144
7,160
8,167
9,182
10,197
11,198
12,203
13,212
14,216
15,218
16,236
17,239
18,240
19,245
20,249
21,257
22,266
23,275
24,280
25,286
26,298
27,303
28,304
29,321
30,327
31,348
32,354
33,362
34,366
35,369
36,372
37,375
38,409
39,413
40,421
41,424
42,425
43,448
44,454
45,470
46,476
47,528
48,532
49,538
50,551
51,661
52,666
53,696
54,706
55,716
56,727
57,728
58,743
59,744
60,745
61,747
62,748
63,755
64,757
65,796
66,801
67,842
68,846
69,884
70,886
71,893
72,894
73,930
74,936
75,939
76,944
77,964
78,965
79,1036
80,1038
81,1053
82,1061
83,1063
84,1067
85,1068
86,1071
87,1075
88,1079
89,1097
90,1107
91,1108
92,1109
93,1173
94,1182
95,1188
96,1189
97,1195
98,1207
99,1211
100,1219
101,1230
102,1232
103,1233
104,1244
105,1285
106,1321
107,1327
108,1330
109,1331
110,1335
111,1339
112,1358
113,1362
114,1389
115,1391
116,1410
117,1419
118,1425
119,1435
120,1438
121,1441
122,1452
123,1459
124,1462
125,1465
126,1471
127,1476
128,1487
129,1492
130,1508
131,1514
132,1519
133,1542
134,1544
135,1704
136,1711
137,1714
138,1720
139,1725
140,1731
141,1747
142,1759
143,1762
144,1766
145,1794
146,1809
147,1816
148,1820
149,1828
150,1833
151,1838
152,1864
153,1868
154,1875
155,1880
156,1886
157,1905
158,1916
159,1919
160,1994
161,1998
162,2015
163,2017
164,2025
165,2029
166,2034
167,2037
168,2043
169,2049
170,2050
171,2056
172,2075
173,2081
174,2095
175,2096
176,2110
177,2123
178,2125
179,2135
180,2157
181,2162
182,2168
183,2171
184,2175
185,2179
186,2223
187,2233
188,2267
189,2303
190,2308
191,2320
192,2321
193,2332
194,2336
195,2337
196,2352
197,2370
198,2387
199,2398
200,2429
201,2448
202,2460
203,2468
204,2503
205,2520
206,2546
207,2555
208,2565
209,2567
210,2591
211,2598
212,2603
213,2611
214,2629
215,2654
216,2655
217,2657
218,2665
219,2672
220,2703
221,2707
222,2714
223,2725
224,2728
225,2739
226,2742
227,2749
228,2751
229,2756
230,2761
231,2768
232,2779
233,2784
234,2792
235,2799
236,2808
237,2809
238,2810
239,2811
240,2870
241,2889
242,2898
243,2910
244,2917
245,2924
246,2985
247,3002
248,3122
249,3124
250,3126
251,3127
252,3131
253,3142
254,3148
255,3165
256,3171
257,3195
258,3206
259,3229
260,3233
261,3243
262,3245
263,3260
264,3261
265,3266
266,3274
267,3295
268,3302
269,3316
270,3323
271,3329
272,3333
273,3490
274,3492
275,3516
276,3559
277,3575
278,3587
279,3589
280,3591
281,3595
282,3605
283,3612
284,3618
285,3625
286,3629
287,3664
288,3680
289,3682
290,3689
291,3693
292,3725
293,3730
294,3734
295,3737
296,3738
297,3739
298,3746
299,3753
300,3759
301,3775
302,3795
303,3802
304,3813
305,3832
306,3838
307,3845
308,3874
309,3886
310,3892
311,3895
312,3899
313,3915
314,3959
315,3985
316,3993
317,4003
318,4018
319,4052
320,4070
321,4080
322,4088
323,4094
324,4104
325,4118
326,4126
327,4129
328,4145
329,4156
330,4160
331,4169
332,4185
333,4207
334,4218
335,4240
336,4246
337,4262
338,4271
339,4284
340,4293
341,4295
342,4303
343,4331
344,4362
345,4366
346,4370
347,4373
348,4384
349,4395
350,4403
351,4411
352,4415
353,4418
354,4422
355,4426
356,4432
357,4440
358,4451
359,4501
360,4518
361,4521
362,4529
363,4537
364,4552
365,4555
366,4557
367,4571
368,4572
369,4574
370,4585
371,4588
372,4590
373,4592
374,4593
375,4602
376,4606
377,4610
378,4638
379,4640
380,4651
381,4652
382,4663
383,4674
384,4675
385,4681
386,4684
387,4696
388,4699
389,4700
390,4717
391,4725
392,4735
393,4741
394,4755
395,4760
396,4770
397,4775
398,4786
399,4791
400,4804
401,4813
402,4828
403,4830
404,4841
405,4847
406,4868
407,4872
408,4876
409,4879
410,4894
411,4895
412,4906
413,4928
414,4935
415,4947
416,4956
417,4959
418,4987
419,5009
420,5035
421,5036
422,5043
423,5048
424,5050
425,5051
426,5061
427,5062
428,5070
429,5073
430,5076
431,5084
432,5086
433,5089
434,5098
435,5129
436,5132
437,5141
438,5143
439,5144
440,5151
441,5166
442,5184
443,5190
444,5198
445,5200
446,5221
447,5231
448,5241
449,5242
450,5252
451,5259
452,5273
453,5286
454,5294
455,5319
456,5326
457,5330
458,5352
459,5363
460,5368
461,5374
462,5394
463,5404
464,5435
465,5437
466,5448
467,5453
468,5457
469,5458
470,5474
471,5486
472,5511
473,5513
474,5515
475,5524
476,5530
477,5558
478,5567
479,5587
480,5624
481,5626
482,5629
483,5633
484,5637
485,5656
486,5658
487,5660
488,5661
489,5664
490,5669
491,5676
492,5680
493,5681
494,5686
495,5697
496,5698
497,5706
498,5707
499,5710
500,5711
501,5712
502,5715
503,5725
504,5728
505,5755
506,5769
507,5782
508,5814
509,5823
510,5883
511,5917
512,5933
513,5941
514,5953
515,5973
516,5974
517,6034
518,6095
519,6103
520,6114
521,6127
522,6132
523,6164
524,6192
525,6196
526,6210
527,6223
528,6228
529,6230
530,6234
531,6247
532,6255
533,6270
534,6284
535,6286
536,6292
537,6336
538,6353
539,6374
540,6379
541,6401
542,6410
543,6416
544,6430
545,6460
546,6462
547,6472
548,6475
549,6493
550,6520
551,6529
552,6556
553,6561
554,6568
555,6569
556,6574
557,6589
558,6603
559,6617
560,6621
561,6653
562,6655
563,6659
564,6663
565,6668
566,6670
567,6672
568,6673
569,6684
570,6689
571,6739
572,6753
573,6762
574,6776
575,6815
576,6824
577,6836
578,6846
579,6861
580,6862
581,6863
582,6885
583,6892
584,6894
585,6895
586,6903
587,6916
588,6924
589,6940
590,6941
591,6948
592,6952
593,6985
594,7002
595,7013
596,7035
597,7036
598,7060
599,7066
600,7082
601,7083
602,7087
603,7088
604,7090
605,7091
606,7100
607,7112
608,7117
609,7125
610,7129
611,7134
612,7141
613,7145
614,7148
615,7154
616,7160
617,7161
618,7167
619,7180
620,7185
621,7210
622,7228
623,7233
624,7236
625,7248
626,7254
627,7259
628,7267
629,7278
630,7299
631,7303
632,7323
633,7334
634,7340
635,7361
636,7363
637,7364
638,7379
