Name,Num of words
SHREK,8
SHREK,6
SHREK,8
SHREK,7
SHREK,8
SHREK,5
SHREK,6
SHREK,6
SHREK,7
SHREK,7
SHREK,7
SHREK,5
SHREK,6
SHREK,4
MAN1,4
MAN2,5
MAN1,8
MAN1,5
MAN3,7
MAN3,1
SHREK,7
SHREK,7
SHREK,7
SHREK,2
MEN,1
SHREK,6
SHREK,6
SHREK,4
MAN1,7
SHREK,8
SHREK,4
SHREK,3
GUARD,7
GUARD,8
HEAD GUARD,1
GUARD,5
HEAD GUARD,8
HEAD GUARD,1
GUARD,4
HEAD GUARD,2
DONKEY,7
DONKEY,7
DONKEY,4
OLD WOMAN,3
DONKEY,1
HEAD GUARD,5
GIPETTO,4
PINOCCHIO,8
HEAD GUARD,6
HEAD GUARD,3
PINOCCHIO,7
PINOCCHIO,2
HEAD GUARD,5
OLD WOMAN,6
HEAD GUARD,7
HEAD GUARD,5
OLD WOMAN,5
HEAD GUARD,1
OLD WOMAN,7
OLD WOMAN,6
OLD WOMAN,4
HEAD GUARD,6
OLD WOMAN,12
OLD WOMAN,6
OLD WOMAN,3
HEAD GUARD,6
OLD WOMAN,8
DONKEY,4
PETER PAN,3
3 LITTLE PIGS,3
HEAD GUARD,3
DONKEY,7
DONKEY,6
DONKEY,8
DONKEY,9
DONKEY,4
HEAD GUARD,2
HEAD GUARD,2
GUARDS,7
GUARDS,1
HEAD GUARD,3
SHREK,1
HEAD GUARD,9
HEAD GUARD,8
HEAD GUARD,6
SHREK,6
DONKEY,7
DONKEY,6
DONKEY,3
SHREK,6
DONKEY,9
DONKEY,8
DONKEY,6
DONKEY,8
DONKEY,7
DONKEY,7
DONKEY,7
SHREK,4
DONKEY,6
SHREK,7
SHREK,6
DONKEY,8
DONKEY,8
DONKEY,9
DONKEY,6
DONKEY,5
DONKEY,7
DONKEY,1
DONKEY,8
DONKEY,7
DONKEY,6
DONKEY,6
DONKEY,7
DONKEY,6
DONKEY,8
DONKEY,6
DONKEY,6
DONKEY,6
SHREK,5
DONKEY,5
DONKEY,8
DONKEY,7
DONKEY,9
DONKEY,1
SHREK,7
SHREK,3
DONKEY,8
DONKEY,2
SHREK,7
SHREK,4
DONKEY,1
SHREK,8
SHREK,5
SHREK,2
DONKEY,1
SHREK,1
DONKEY,2
SHREK,1
DONKEY,7
SHREK,2
DONKEY,8
DONKEY,8
DONKEY,7
DONKEY,4
DONKEY,8
DONKEY,4
SHREK,5
DONKEY,7
DONKEY,7
DONKEY,7
DONKEY,7
DONKEY,8
DONKEY,5
SHREK,4
DONKEY,8
DONKEY,9
DONKEY,7
DONKEY,8
DONKEY,6
SHREK,2
DONKEY,6
DONKEY,1
SHREK,1
DONKEY,7
DONKEY,8
DONKEY,7
DONKEY,7
DONKEY,7
SHREK,6
DONKEY,3
SHREK,5
DONKEY,9
DONKEY,6
DONKEY,5
SHREK,1
DONKEY,5
DONKEY,8
DONKEY,8
DONKEY,8
DONKEY,10
DONKEY,8
DONKEY,7
DONKEY,7
DONKEY,5
DONKEY,5
SHREK,2
BLIND MOUSE1,8
BLIND MOUSE1,7
BLIND MOUSE2,8
SHREK,2
GORDO,4
SHREK,1
GORDO,3
BLIND MOUSE1,4
GORDO,4
SHREK,3
SHREK,5
SHREK,3
SHREK,7
DWARF,8
DWARF,2
SHREK,1
BIG BAD WOLF,1
SHREK,10
SHREK,8
SHREK,6
SHREK,3
SHREK,7
SHREK,9
SHREK,7
SHREK,7
SHREK,7
DONKEY,8
DONKEY,1
PINOCCHIO,6
SHREK,1
PINOCCHIO,6
LITTLE PIG,7
LITTLE PIG,5
SHREK,4
DONKEY,8
SHREK,7
SHREK,4
DONKEY,2
SHREK,1
DONKEY,9
DONKEY,2
SHREK,6
SHREK,6
SHREK,8
SHREK,9
SHREK,7
SHREK,5
DONKEY,8
DONKEY,6
DONKEY,6
DONKEY,4
DONKEY,8
DONKEY,4
SHREK,6
DONKEY,3
SHREK,1
DONKEY,4
SHREK,4
FARQUAAD,6
FARQUAAD,8
FARQUAAD,5
GINGERBREAD MAN,4
FARQUAAD,8
FARQUAAD,8
FARQUAAD,6
FARQUAAD,5
GINGERBREAD MAN,2
FARQUAAD,8
FARQUAAD,7
FARQUAAD,4
GINGERBREAD MAN,8
GINGERBREAD MAN,1
FARQUAAD,6
GINGERBREAD MAN,8
GINGERBREAD MAN,2
FARQUAAD,3
GINGERBREAD MAN,3
FARQUAAD,8
FARQUAAD,3
GINGERBREAD MAN,7
FARQUAAD,3
GINGERBREAD MAN,3
FARQUAAD,6
HEAD GUARD,5
FARQUAAD,7
FARQUAAD,2
FARQUAAD,2
GINGERBREAD MAN,5
FARQUAAD,6
FARQUAAD,7
FARQUAAD,3
MIRROR,6
FARQUAAD,5
MIRROR,9
MIRROR,8
MIRROR,6
FARQUAAD,2
MIRROR,7
MIRROR,7
MIRROR,6
MIRROR,7
MIRROR,8
MIRROR,6
MIRROR,6
MIRROR,6
MIRROR,7
MIRROR,7
MIRROR,7
MIRROR,7
MIRROR,9
MIRROR,10
MIRROR,5
MIRROR,8
MIRROR,6
MIRROR,8
MIRROR,7
MIRROR,7
MIRROR,8
MIRROR,5
MIRROR,6
GUARDS,7
FARQUAAD,3
THELONIUS,3
THELONIUS,3
FARQUAAD,5
MIRROR,5
MIRROR,1
FARQUAAD,6
FARQUAAD,8
FARQUAAD,2
MIRROR,7
MIRROR,5
FARQUAAD,3
MIRROR,4
FARQUAAD,7
FARQUAAD,7
FARQUAAD,5
FARQUAAD,7
FARQUAAD,2
DONKEY,7
DONKEY,8
SHREK,7
DONKEY,4
SHREK,6
SHREK,2
DONKEY,5
MAN,5
SHREK,5
SHREK,8
SHREK,6
SHREK,7
DONKEY,4
WOODEN PEOPLE,7
DONKEY,5
SHREK,6
FARQUAAD,7
FARQUAAD,7
FARQUAAD,5
SHREK,7
SHREK,4
DONKEY,3
FARQUAAD,7
FARQUAAD,10
FARQUAAD,6
FARQUAAD,8
FARQUAAD,7
FARQUAAD,7
FARQUAAD,9
FARQUAAD,9
FARQUAAD,5
FARQUAAD,4
FARQUAAD,3
SHREK,4
FARQUAAD,7
FARQUAAD,7
FARQUAAD,3
MEN,2
SHREK,8
CROWD,4
SHREK,5
CROWD,3
SHREK,4
SHREK,2
DONKEY,6
SHREK,1
WOMAN,6
SHREK,8
SHREK,7
SHREK,4
HEAD GUARD,6
FARQUAAD,8
FARQUAAD,6
SHREK,1
FARQUAAD,5
FARQUAAD,8
FARQUAAD,1
SHREK,8
SHREK,5
FARQUAAD,2
SHREK,7
SHREK,3
FARQUAAD,7
FARQUAAD,9
FARQUAAD,6
SHREK,5
FARQUAAD,6
SHREK,3
FARQUAAD,4
SHREK,4
DONKEY,7
DONKEY,8
DONKEY,7
DONKEY,8
DONKEY,9
DONKEY,5
SHREK,7
SHREK,3
DONKEY,9
DONKEY,8
DONKEY,7
DONKEY,8
DONKEY,2
SHREK,8
SHREK,6
SHREK,8
SHREK,7
SHREK,7
DONKEY,5
SHREK,6
SHREK,6
DONKEY,1
SHREK,7
SHREK,4
DONKEY,4
SHREK,1
DONKEY,8
DONKEY,6
DONKEY,1
SHREK,6
SHREK,6
SHREK,6
DONKEY,6
DONKEY,6
DONKEY,5
SHREK,6
SHREK,5
DONKEY,6
DONKEY,7
DONKEY,7
DONKEY,8
DONKEY,3
