Clock 1,Clock 2
0,2
1,20
2,22
3,23
4,38
5,50
6,56
7,58
8,60
9,68
10,75
11,79
12,84
13,115
14,119
15,124
16,128
17,160
18,164
19,180
20,190
21,194
22,197
23,244
24,249
25,254
26,268
27,280
28,285
29,295
30,306
31,311
32,322
33,337
34,346
35,382
36,387
37,391
38,407
39,410
40,426
41,447
42,449
43,479
44,482
45,487
46,489
47,528
48,555
49,559
50,592
51,602
52,627
53,629
54,643
55,650
56,661
57,662
58,690
59,692
60,741
61,761
62,797
63,809
64,841
65,850
66,863
67,867
68,937
69,1019
70,1020
71,1039
72,1045
73,1068
74,1076
75,1094
76,1101
77,1107
78,1162
79,1167
80,1248
81,1255
82,1260
83,1264
84,1299
85,1308
86,1310
87,1321
88,1323
89,1348
90,1351
91,1377
92,1385
93,1388
94,1390
95,1413
96,1423
97,1608
98,1616
99,1621
100,1623
101,1633
102,1639
103,1695
104,1701
105,1725
106,1738
107,1750
108,1757
109,1769
110,1865
111,1867
112,1891
113,1904
114,1909
115,2222
116,2224
117,2283
118,2289
119,2320
120,2322
121,2403
122,2406
123,2423
124,2424
125,2517
126,2525
127,2530
128,2541
129,2676
130,2677
131,2682
132,2716
133,2721
134,2724
135,2744
136,2745
137,2754
138,2768
139,2775
140,2783
141,2804
142,2832
143,2836
144,2860
145,2866
146,2892
147,2894
148,2939
149,2955
150,2956
151,3020
152,3100
153,3104
154,3107
155,3108
156,3111
157,3129
158,3130
159,3175
160,3181
161,3190
162,3196
163,3244
164,3253
165,3279
166,3287
167,3292
168,3310
169,3376
170,3389
171,3516
172,3535
173,3536
174,3549
175,3568
176,3572
177,3650
178,3658
179,4332
180,4340
181,4345
182,4346
183,4347
184,4350
185,4353
186,4361
187,4363
188,4374
189,4380
190,4407
191,4410
192,4421
193,4425
194,4435
195,4454
196,4469
197,4480
198,4494
199,4512
200,4532
201,4541
202,4556
203,4559
204,4584
205,4595
206,4606
207,4610
208,4616
209,4640
210,4649
211,4652
212,4661
213,4662
214,4687
215,4691
216,4722
217,4739
218,4743
219,4749
220,4751
221,4762
222,4781
223,4783
224,4789
225,4796
226,4825
227,4828
228,4839
229,4846
230,4858
231,4867
232,4881
233,4884
234,4890
235,4891
236,4899
237,4902
238,4914
239,4916
240,4919
241,4920
242,4928
243,4943
244,4955
245,4963
246,5168
247,5170
248,5197
249,5199
250,5304
251,5306
252,5320
253,5333
254,5523
255,5527
256,5528
257,5532
258,5538
259,5553
260,5565
261,5577
262,5612
263,5620
264,5662
265,5665
266,5676
267,5678
268,5699
269,5701
270,5736
271,5737
272,5747
273,5753
274,5785
275,5791
276,5805
277,5807
278,5818
279,5820
280,5830
281,5866
282,5867
283,5888
284,5896
285,5910
286,5914
287,5928
288,5966
289,5982
290,5994
291,5997
292,6001
293,6003
294,6016
295,6025
296,6077
297,6082
298,6103
299,6105
300,6120
301,6127
302,6128
303,6138
304,6142
305,6175
306,6192
307,6194
308,6214
309,6255
310,6271
311,6289
312,6292
313,6310
314,6314
315,6315
316,6318
317,6323
318,6324
319,6329
320,6332
321,6340
322,6346
323,6373
324,6375
325,6380
326,6384
327,6401
328,6406
329,6432
330,6433
331,6436
332,6451
333,6462
334,6521
335,6522
336,6525
337,6531
338,6537
339,6553
340,6571
341,6580
342,6598
343,6600
344,6602
345,6607
346,6658
347,6663
348,6682
349,6700
350,6705
351,6717
352,6728
353,6744
354,6746
355,6747
356,6752
357,6758
358,6769
359,6786
360,6791
361,6802
362,6825
363,6826
364,6842
365,6849
366,6863
367,6872
368,6876
369,6889
370,6905
371,6907
372,6910
373,6912
374,6921
375,6944
376,6953
377,6963
378,6968
379,7019
380,7025
381,7039
382,7042
383,7047
384,7052
385,7055
386,7076
387,7086
388,7090
389,7095
390,7100
391,7111
392,7118
393,7130
394,7137
395,7140
396,7141
397,7167
398,7181
399,7193
400,7211
401,7216
402,7228
403,7230
404,7267
405,7270
406,7276
407,7279
408,7296
409,7297
410,7304
411,7315
412,7319
413,7360
414,7364
415,7367
416,7370
417,7383
418,7406
419,7414
420,7416
421,7431
422,7433
423,7437
424,7439
425,7454
426,7463
427,7468
428,7470
429,7480
430,7486
431,7530
432,7536
433,7537
434,7541
435,7543
436,7544
437,7548
438,7554
439,7558
440,7568
441,7569
442,7670
443,7674
444,7691
445,7697
446,7713
447,7716
448,7763
449,7776
450,7782
451,7785
452,7790
453,7828
454,7829
455,7832
456,7843
457,7852
458,7863
459,7870
460,7882
461,7920
462,7924
463,7926
464,7946
465,7957
466,7996
467,8003
468,8026
469,8030
470,8057
471,8063
472,8078
473,8083
474,8090
475,8121
476,8165
477,8167
478,8180
479,8185
480,8226
481,8231
482,8263
483,8267
484,8269
485,8292
486,8305
487,8309
488,8311
489,8343
490,8350
491,8354
492,8360
493,8362
494,8366
495,8373
496,8377
497,8396
498,8400
499,8403
500,8409
501,8414
502,8416
503,8427
504,8429
505,8449
506,8522
507,8526
508,8538
509,8540
510,8562
511,8568
512,8572
513,8579
514,8585
